period,yhat
2019-01-01,4477.037967270242
2019-02-01,4492.606967485111
2019-03-01,4511.3788821070975
2019-04-01,4519.4479887631915
2019-05-01,4527.268836707414
2019-06-01,4527.813018802305
2019-07-01,4520.921266279176
2019-08-01,4512.445985324992
2019-09-01,4503.311380748653
2019-10-01,4495.438628023849
2019-11-01,4490.054660799431
2019-12-01,4490.307263100098
2020-01-01,4498.296914163534
2020-02-01,4515.20889331508
2020-03-01,4531.436386645486
2020-04-01,4547.056054316386
2020-05-01,4556.7362762270795
2020-06-01,4558.644003262744
2020-07-01,4555.222866154161
2020-08-01,4548.552549943407
2020-09-01,4539.403881560777
2020-10-01,4531.316395431834
2020-11-01,4527.240952586798
2020-12-01,4530.991916108051
2021-01-01,4542.520122257163
2021-02-01,4561.875024297828
2021-03-01,4578.080431977578
2021-04-01,4593.89733480333
2021-05-01,4605.93847346431
2021-06-01,4609.675666451568
2021-07-01,4606.96730380643
2021-08-01,4601.316732243231
2021-09-01,4593.806277478949
2021-10-01,4586.405090151741
2021-11-01,4583.148341986469
2021-12-01,4586.837907995661
2022-01-01,4596.48946456916
2022-02-01,4614.309257158554
2022-03-01,4631.9359102147955
2022-04-01,4643.169040043718
2022-05-01,4652.965775538328
2022-06-01,4656.49890100486
2022-07-01,4652.542600689674
2022-08-01,4646.378218505121
2022-09-01,4637.56728414513
2022-10-01,4628.761592731849
2022-11-01,4622.163176388412
2022-12-01,4621.776346841167
2023-01-01,4628.841525589975
2023-02-01,4643.799400451516
2023-03-01,4662.019330883411
2023-04-01,4669.84573153966
2023-05-01,4678.584577360692
2023-06-01,4680.077357261616
2023-07-01,4673.5390470014645
2023-08-01,4665.428989719015
2023-09-01,4658.448800048422
2023-10-01,4651.246902964211
2023-11-01,4646.556153235081
2023-12-01,4646.683471263632
2024-01-01,4654.543661912542
2024-02-01,4670.226791145551
2024-03-01,4685.501381208922
2024-04-01,4700.102428146121
2024-05-01,4708.76490871249
2024-06-01,4709.620969692355
2024-07-01,4705.182091239453
2024-08-01,4697.125128625361
2024-09-01,4686.5898138393995
2024-10-01,4676.385355709022
2024-11-01,4670.122375129192
2024-12-01,4671.756366649016
2025-01-01,4680.465782180294
2025-02-01,4697.0018936031165
2025-03-01,4710.229204453869
2025-04-01,4722.748928647499
2025-05-01,4731.5992492773885
2025-06-01,4732.859000112265
2025-07-01,4727.753112803529
2025-08-01,4719.695110669375
2025-09-01,4709.77722533413
2025-10-01,4700.046266486642
2025-11-01,4693.770174705108
2025-12-01,4694.5377952792205
2026-01-01,4702.559898251064
2026-02-01,4718.750237238779
2026-03-01,4734.905125751578
2026-04-01,4745.3729324809265
2026-05-01,4754.42903271788
2026-06-01,4756.0875317041855
2026-07-01,4750.317076730722
2026-08-01,4742.278068065936
2026-09-01,4732.985795363492
2026-10-01,4723.7142926510705
2026-11-01,4717.4025274429805
2026-12-01,4717.293102220264
2027-01-01,4724.644932104416
2027-02-01,4740.530576988172
2027-03-01,4759.5884932465815
2027-04-01,4767.974244571529
2027-05-01,4777.254397491319
2027-06-01,4779.306528060969
2027-07-01,4772.874705941945
2027-08-01,4764.874686405337
2027-09-01,4756.215343246565
2027-10-01,4747.388458915733
2027-11-01,4741.018555698432
2027-12-01,4740.022673739463
2028-01-01,4746.72222440127
2028-02-01,4762.344103151179
2028-03-01,4777.56139437552
2028-04-01,4792.1011908295895
2028-05-01,4800.763671395967
2028-06-01,4801.619732375825
2028-07-01,4797.18085392293
2028-08-01,4789.123891308835
2028-09-01,4778.588576522876
2028-10-01,4768.384118392491
2028-11-01,4762.121137812678
2028-12-01,4763.755129332493
2029-01-01,4772.464544863765
2029-02-01,4789.0006562865965
2029-03-01,4802.227967137324
2029-04-01,4814.747691330971
2029-05-01,4823.598011960864
2029-06-01,4824.85776279574
2029-07-01,4819.751875487012
2029-08-01,4811.693873352852
2029-09-01,4801.775988017606
2029-10-01,4792.045029170118
2029-11-01,4785.768937388591
2029-12-01,4786.536557962701
2030-01-01,4794.55866093454
2030-02-01,4810.74899992224
2030-03-01,4826.9038884350575
2030-04-01,4837.3716951644
2030-05-01,4846.427795401351
2030-06-01,4848.086294387658
2030-07-01,4842.315839414188
2030-08-01,4834.276830749404
2030-09-01,4824.98455804697
